ampl: display Y;
Y [M1,*,Buraki,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6    S7  S8  S9    :=
1    0   0   0      0   0   0    0.78   0   0   0
2    0   0   0      0   0   0    0.41   0   0   0
3    0   0   0      0   0   0    0.41   0   0   0
4    0   0   0      0   0   0    0.41   0   0   0
5    0   0   0      0   0   0    0.41   0   0   0
6    0   0   0      0   0   0    0.53   0   0   0
7    0   0   0      0   0   0    0.56   0   0   0
8    0   0   0      0   0   0    0.84   0   0   0
9    0   0   0      0   0   0    1.16   0   0   0
10   0   0   0      0   0   0    1.42   0   0   0
11   0   0   0      0   0   0    1.29   0   0   0
12   0   0   0      0   0   0    1.78   0   0   0
13   0   0   0      0   0   0    1.84   0   0   0
14   0   0   0      0   0   0   11.77   0   0   0
15   0   0   0      0   0   0    2.61   0   0   0
16   0   0   0      0   0   0    2.48   0   0   0
17   0   0   0      0   0   0    1.54   0   0   0
18   0   0   0      0   0   0    0      0   0   0
19   0   0   0      0   0   0    0      0   0   0
20   0   0   0      0   0   0    2.95   0   0   0
21   0   0   0.55   0   0   0    6.54   0   0   0
22   0   0   4.2    0   0   0    7.91   0   0   0
23   0   0   3.73   0   0   0    1.73   0   0   0
24   0   0   3.39   0   0   0    0      0   0   0
25   0   0   4.58   0   0   0   12.66   0   0   0
26   0   0   4.61   0   0   0    0      0   0   0
27   0   0   4.92   0   0   0    0      0   0   0
28   0   0   3.62   0   0   0    4.13   0   0   0
29   0   0   4.26   0   0   0    4.44   0   0   0
30   0   0   3.55   0   0   0   12.4    0   0   0
31   0   0   4.4    0   0   0    4.11   0   0   0
32   0   0   4.41   0   0   0    2.55   0   0   0
33   0   0   3.79   0   0   0    0      0   0   0
34   0   0   2.69   0   0   0    0      0   0   0
35   0   0   3.61   0   0   0    0      0   0   0
36   0   0   2.5    0   0   0    3.3    0   0   0
37   0   0   2.41   0   0   0    6.83   0   0   0
38   0   0   2.28   0   0   0    0      0   0   0
39   0   0   3.71   0   0   0    0      0   0   0
40   0   0   0      0   0   0    1.68   0   0   0
41   0   0   3.95   0   0   0    4.55   0   0   0
42   0   0   0.29   0   0   0    0      0   0   0
43   0   0   0      0   0   0    0      0   0   0
44   0   0   2.95   0   0   0    0.75   0   0   0
45   0   0   1.35   0   0   0    3.21   0   0   0
46   0   0   0      0   0   0    0      0   0   0
47   0   0   0      0   0   0    0      0   0   0
48   0   0   0      0   0   0    0      0   0   0
49   0   0   0      0   0   0    0      0   0   0
50   0   0   0      0   0   0    0      0   0   0
51   0   0   0      0   0   0    0      0   0   0
52   0   0   0.42   0   0   0    0.41   0   0   0

 [M1,*,Kapusta,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6   S7  S8  S9    :=
1    0   0   5.99   0   0   0   0.68   0   0   0
2    0   0   0      0   0   0   0.22   0   0   0
3    0   0   0      0   0   0   0.22   0   0   0
4    0   0   0      0   0   0   0.22   0   0   0
5    0   0   0      0   0   0   0.22   0   0   0
6    0   0   0      0   0   0   0.27   0   0   0
7    0   0   0      0   0   0   5.54   0   0   0
8    0   0   0      0   0   0   0      0   0   0
9    0   0   0      0   0   0   0      0   0   0
10   0   0   1.33   0   0   0   0      0   0   0
11   0   0   1.88   0   0   0   0      0   0   0
12   0   0   1.52   0   0   0   0      0   0   0
13   0   0   0      0   0   0   0      0   0   0
14   0   0   0      0   0   0   1.38   0   0   0
15   0   0   2.36   0   0   0   1.46   0   0   0
16   0   0   3.02   0   0   0   1.64   0   0   0
17   0   0   2.79   0   0   0   3.55   0   0   0
18   0   0   3.51   0   0   0   5.09   0   0   0
19   0   0   7.11   0   0   0   2.07   0   0   0
20   0   0   0      0   0   0   0      0   0   0
21   0   0   4.31   0   0   0   0.97   0   0   0
22   0   0   4.24   0   0   0   0      0   0   0
23   0   0   4.32   0   0   0   2.4    0   0   0
24   0   0   3.9    0   0   0   4.02   0   0   0
25   0   0   4.63   0   0   0   0      0   0   0
26   0   0   4.78   0   0   0   2.32   0   0   0
27   0   0   3.86   0   0   0   1.88   0   0   0
28   0   0   3.66   0   0   0   4.45   0   0   0
29   0   0   4.63   0   0   0   0      0   0   0
30   0   0   4.02   0   0   0   1.98   0   0   0
31   0   0   3.83   0   0   0   2.39   0   0   0
32   0   0   1.42   0   0   0   2.17   0   0   0
33   0   0   0      0   0   0   1.72   0   0   0
34   0   0   3.54   0   0   0   1.41   0   0   0
35   0   0   3.44   0   0   0   1.86   0   0   0
36   0   0   3.89   0   0   0   5.3    0   0   0
37   0   0   4.58   0   0   0   0      0   0   0
38   0   0   5.13   0   0   0   0      0   0   0
39   0   0   0.4    0   0   0   0      0   0   0
40   0   0   0      0   0   0   1.9    0   0   0
41   0   0   0      0   0   0   0      0   0   0
42   0   0   2.84   0   0   0   0.76   0   0   0
43   0   0   4.85   0   0   0   2.86   0   0   0
44   0   0   0      0   0   0   0      0   0   0
45   0   0   0      0   0   0   0      0   0   0
46   0   0   0      0   0   0   0      0   0   0
47   0   0   0      0   0   0   0      0   0   0
48   0   0   0      0   0   0   0      0   0   0
49   0   0   0      0   0   0   0      0   0   0
50   0   0   0      0   0   0   0      0   0   0
51   0   0   0      0   0   0   0      0   0   0
52   0   0   0.43   0   0   0   0.22   0   0   0

 [M1,*,Marchew,*] (tr)
:   S1 S10    S2    S3  S4    S5     S6   S7  S8  S9    :=
1    0   0    0.91   0   0   3.66   0.78   0   0   0
2    0   0    0.37   0   0   0      0.23   0   0   0
3    0   0    0.37   0   0   0      0.23   0   0   0
4    0   0    0.37   0   0   0      0.23   0   0   0
5    0   0    0.37   0   0   0      0.23   0   0   0
6    0   0    0.46   0   0   0      0.29   0   0   0
7    0   0    0.52   0   0   0      0.43   0   0   0
8    0   0    0.9    0   0   0      0.43   0   0   0
9    0   0    1.04   0   0   0      0.5    0   0   0
10   0   0    4.9    0   0   0      0.88   0   0   0
11   0   0    1.71   0   0   0      0.94   0   0   0
12   0   0    0      0   0   0      1.16   0   0   0
13   0   0    0      0   0   0      1.26   0   0   0
14   0   0    7.03   0   0   0      1.23   0   0   0
15   0   0    0      0   0   0      1.44   0   0   0
16   0   0    0      0   0   0      1.76   0   0   0
17   0   0    3.14   0   0   0      1.61   0   0   0
18   0   0    4.76   0   0   0      1.72   0   0   0
19   0   0    0.46   0   0   0      3.38   0   0   0
20   0   0   12.27   0   0   0      0      0   0   0
21   0   0    3.73   0   0   0      6.54   0   0   0
22   0   0    3.24   0   0   0      0      0   0   0
23   0   0    0      0   0   0      0      0   0   0
24   0   0    0      0   0   0      3.15   0   0   0
25   0   0   13      0   0   0      1      0   0   0
26   0   0    4.17   0   0   0      1.95   0   0   0
27   0   0    4.23   0   0   0      2.53   0   0   0
28   0   0    4.38   0   0   0      3.11   0   0   0
29   0   0    3.07   0   0   0      1.85   0   0   0
30   0   0    3.64   0   0   0      2.16   0   0   0
31   0   0    4.01   0   0   0      2.11   0   0   0
32   0   0    3.86   0   0   0      2.3    0   0   0
33   0   0    3.28   0   0   0      5.56   0   0   0
34   0   0    2.73   0   0   0      4.97   0   0   0
35   0   0    2.48   0   0   0      0      0   0   0
36   0   0    1.37   0   0   0      0      0   0   0
37   0   0    0      0   0   0      0      0   0   0
38   0   0    0      0   0   0      0      0   0   0
39   0   0    0      0   0   0      0      0   0   0
40   0   0    0      0   0   0      1.87   0   0   0
41   0   0    1.64   0   0   0      0      0   0   0
42   0   0    2.51   0   0   0.72   0.85   0   0   0
43   0   0    0      0   0   0      1.31   0   0   0
44   0   0    0.67   0   0   0      1.48   0   0   0
45   0   0    1.58   0   0   0      0      0   0   0
46   0   0    1.43   0   0   0      0.14   0   0   0
47   0   0    0      0   0   0      0      0   0   0
48   0   0    0      0   0   0      0      0   0   0
49   0   0    0      0   0   0      0      0   0   0
